comparison_id,domain,metric,year,observed,modeled,unit,comparison_status,forcing_class,phase,weight,tolerance,tolerance_absolute,geography,source_id,source_url,observed_boundary,modeled_boundary,model_result_ref,constraint_refs,uncertainty_or_conflict,notes
ENE-GEN-2020,energy,Gross electricity generation,2020,366.3216,331.9804,PJ,score_ready,E,calibration,2,0.1,,Philippines,SRC_PHL_DOE_2024_POWER_SUMMARY,https://legacy.doe.gov.ph/energy-statistics/philippine-energy-situationer,"DOE gross generation; 2020 includes embedded/off-grid/commissioning, 2021 onward grid generation",National model gross grid generation,gas_delivery_four_scenario_validation_v33.json:BASE:2020:gross_grid_generation_pj,exogenous final electricity demands; residual stocks; availability; costs,10% tolerance reflects national aggregation and the documented 2020 boundary break,
ENE-GEN-2021,energy,Gross electricity generation,2021,382.014,336.0149,PJ,score_ready,E,calibration,2,0.1,,Philippines,SRC_PHL_DOE_2024_POWER_SUMMARY,https://legacy.doe.gov.ph/energy-statistics/philippine-energy-situationer,"DOE gross generation; 2020 includes embedded/off-grid/commissioning, 2021 onward grid generation",National model gross grid generation,gas_delivery_four_scenario_validation_v33.json:BASE:2021:gross_grid_generation_pj,exogenous final electricity demands; residual stocks; availability; costs,10% tolerance reflects national aggregation and the documented 2020 boundary break,
ENE-GEN-2022,energy,Gross electricity generation,2022,401.4576,351.6933,PJ,score_ready,E,calibration,2,0.1,,Philippines,SRC_PHL_DOE_2024_POWER_SUMMARY,https://legacy.doe.gov.ph/energy-statistics/philippine-energy-situationer,"DOE gross generation; 2020 includes embedded/off-grid/commissioning, 2021 onward grid generation",National model gross grid generation,gas_delivery_four_scenario_validation_v33.json:BASE:2022:gross_grid_generation_pj,exogenous final electricity demands; residual stocks; availability; costs,10% tolerance reflects national aggregation and the documented 2020 boundary break,
ENE-GEN-2023,energy,Gross electricity generation,2023,424.8144,372.777,PJ,score_ready,E,calibration,2,0.1,,Philippines,SRC_PHL_DOE_2024_POWER_SUMMARY,https://legacy.doe.gov.ph/energy-statistics/philippine-energy-situationer,"DOE gross generation; 2020 includes embedded/off-grid/commissioning, 2021 onward grid generation",National model gross grid generation,gas_delivery_four_scenario_validation_v33.json:BASE:2023:gross_grid_generation_pj,exogenous final electricity demands; residual stocks; availability; costs,10% tolerance reflects national aggregation and the documented 2020 boundary break,
ENE-GEN-2024,energy,Gross electricity generation,2024,456.9876,395.7969,PJ,score_ready,E,calibration,2,0.1,,Philippines,SRC_PHL_DOE_2024_POWER_SUMMARY,https://legacy.doe.gov.ph/energy-statistics/philippine-energy-situationer,"DOE gross generation; 2020 includes embedded/off-grid/commissioning, 2021 onward grid generation",National model gross grid generation,gas_delivery_four_scenario_validation_v33.json:BASE:2024:gross_grid_generation_pj,exogenous final electricity demands; residual stocks; availability; costs,10% tolerance reflects national aggregation and the documented 2020 boundary break,
ENE-GAS-2021,energy,Natural-gas electricity generation,2021,68.616,62.8636,PJ,score_ready,E,calibration,1,0.15,,Philippines,SRC_PHL_DOE_2024_POWER_SUMMARY,https://legacy.doe.gov.ph/energy-statistics/philippine-energy-situationer,DOE grid natural-gas generation,Legacy gas-generation route reported by v33 validation,gas_delivery_four_scenario_validation_v33.json:BASE:2021:legacy_gas_generation_pj,gas extraction envelope; residual gas stock; plant availability; VOM; take-or-pay economics,15% tolerance reflects annual copperplate aggregation and plant-class representation,
ENE-GAS-2022,energy,Natural-gas electricity generation,2022,64.3824,55.4642,PJ,score_ready,E,calibration,1,0.15,,Philippines,SRC_PHL_DOE_2024_POWER_SUMMARY,https://legacy.doe.gov.ph/energy-statistics/philippine-energy-situationer,DOE grid natural-gas generation,Legacy gas-generation route reported by v33 validation,gas_delivery_four_scenario_validation_v33.json:BASE:2022:legacy_gas_generation_pj,gas extraction envelope; residual gas stock; plant availability; VOM; take-or-pay economics,15% tolerance reflects annual copperplate aggregation and plant-class representation,
ENE-GAS-2023,energy,Natural-gas electricity generation,2023,60.0048,38.3862,PJ,score_ready,E,calibration,1,0.15,,Philippines,SRC_PHL_DOE_2024_POWER_SUMMARY,https://legacy.doe.gov.ph/energy-statistics/philippine-energy-situationer,DOE grid natural-gas generation,Legacy gas-generation route reported by v33 validation,gas_delivery_four_scenario_validation_v33.json:BASE:2023:legacy_gas_generation_pj,gas extraction envelope; residual gas stock; plant availability; VOM; take-or-pay economics,15% tolerance reflects annual copperplate aggregation and plant-class representation,
ENE-GAS-2024,energy,Natural-gas electricity generation,2024,64.9692,1.6374,PJ,score_ready,E,calibration,1,0.15,,Philippines,SRC_PHL_DOE_2024_POWER_SUMMARY,https://legacy.doe.gov.ph/energy-statistics/philippine-energy-situationer,DOE grid natural-gas generation,Legacy gas-generation route reported by v33 validation,gas_delivery_four_scenario_validation_v33.json:BASE:2024:legacy_gas_generation_pj,gas extraction envelope; residual gas stock; plant availability; VOM; take-or-pay economics,15% tolerance reflects annual copperplate aggregation and plant-class representation,
ENE-IND-HEAT-OIL-SHARE-2020,energy,Oil share of industrial process-heat input,2020,0.251,0.4838460157,fraction,diagnostic_only,E,calibration,1,,,Philippines,SRC_PHL_DOE_PEP_2020_2040_INDUSTRY_COAL,https://legacy.doe.gov.ph/sites/default/files/pdf/pep/PEP-2020-2040-Final%20eCopy-as-of-15-June-2023.pdf,DOE whole-industry final-energy fuel share,Fuel input to PHL_INDU_OTHLPH_* and PHL_INDU_OTHHPH_* process-heat routes,"UseByTechnologyByMode.csv:industrial low/high process-heat technologies, 2020",industrial process-heat service demand; residual stocks; efficiencies; fuel and route costs,"Not scoreable: the official denominator includes all industrial final energy, while the model denominator is process heat only.",
